Month,"Rate, %",Month.1,"Rate, %.1",Month.2,"Rate, %.2",Month.3,"Rate, %.3"
1953-04-01,2.83,1966-10-01,5.01,1980-04-01,11.47,1993-10-01,5.33
1953-05-01,3.05,1966-11-01,5.16,1980-05-01,10.18,1993-11-01,5.72
1953-06-01,3.11,1966-12-01,4.84,1980-06-01,9.78,1993-12-01,5.77
1953-07-01,2.93,1967-01-01,4.58,1980-07-01,10.25,1994-01-01,5.75
1953-08-01,2.95,1967-02-01,4.63,1980-08-01,11.1,1994-02-01,5.97
1953-09-01,2.87,1967-03-01,4.54,1980-09-01,11.51,1994-03-01,6.48
1953-10-01,2.66,1967-04-01,4.59,1980-10-01,11.75,1994-04-01,6.97
1953-11-01,2.68,1967-05-01,4.85,1980-11-01,12.68,1994-05-01,7.18
1953-12-01,2.59,1967-06-01,5.02,1980-12-01,12.84,1994-06-01,7.1
1954-01-01,2.48,1967-07-01,5.16,1981-01-01,12.57,1994-07-01,7.3
1954-02-01,2.47,1967-08-01,5.28,1981-02-01,13.19,1994-08-01,7.24
1954-03-01,2.37,1967-09-01,5.3,1981-03-01,13.12,1994-09-01,7.46
1954-04-01,2.29,1967-10-01,5.48,1981-04-01,13.68,1994-10-01,7.74
1954-05-01,2.37,1967-11-01,5.75,1981-05-01,14.1,1994-11-01,7.96
1954-06-01,2.38,1967-12-01,5.7,1981-06-01,13.47,1994-12-01,7.81
1954-07-01,2.3,1968-01-01,5.53,1981-07-01,14.28,1995-01-01,7.78
1954-08-01,2.36,1968-02-01,5.56,1981-08-01,14.94,1995-02-01,7.47
1954-09-01,2.38,1968-03-01,5.74,1981-09-01,15.32,1995-03-01,7.2
1954-10-01,2.43,1968-04-01,5.64,1981-10-01,15.15,1995-04-01,7.06
1954-11-01,2.48,1968-05-01,5.87,1981-11-01,13.39,1995-05-01,6.63
1954-12-01,2.51,1968-06-01,5.72,1981-12-01,13.72,1995-06-01,6.17
1955-01-01,2.61,1968-07-01,5.5,1982-01-01,14.59,1995-07-01,6.28
1955-02-01,2.65,1968-08-01,5.42,1982-02-01,14.43,1995-08-01,6.49
1955-03-01,2.68,1968-09-01,5.46,1982-03-01,13.86,1995-09-01,6.2
1955-04-01,2.75,1968-10-01,5.58,1982-04-01,13.87,1995-10-01,6.04
1955-05-01,2.76,1968-11-01,5.7,1982-05-01,13.62,1995-11-01,5.93
1955-06-01,2.78,1968-12-01,6.03,1982-06-01,14.3,1995-12-01,5.71
1955-07-01,2.9,1969-01-01,6.04,1982-07-01,13.95,1996-01-01,5.65
1955-08-01,2.97,1969-02-01,6.19,1982-08-01,13.06,1996-02-01,5.81
1955-09-01,2.97,1969-03-01,6.3,1982-09-01,12.34,1996-03-01,6.27
1955-10-01,2.88,1969-04-01,6.17,1982-10-01,10.91,1996-04-01,6.51
1955-11-01,2.89,1969-05-01,6.32,1982-11-01,10.55,1996-05-01,6.74
1955-12-01,2.96,1969-06-01,6.57,1982-12-01,10.54,1996-06-01,6.91
1956-01-01,2.9,1969-07-01,6.72,1983-01-01,10.46,1996-07-01,6.87
1956-02-01,2.84,1969-08-01,6.69,1983-02-01,10.72,1996-08-01,6.64
1956-03-01,2.96,1969-09-01,7.16,1983-03-01,10.51,1996-09-01,6.83
1956-04-01,3.18,1969-10-01,7.1,1983-04-01,10.4,1996-10-01,6.53
1956-05-01,3.07,1969-11-01,7.14,1983-05-01,10.38,1996-11-01,6.2
1956-06-01,3.0,1969-12-01,7.65,1983-06-01,10.85,1996-12-01,6.3
1956-07-01,3.11,1970-01-01,7.79,1983-07-01,11.38,1997-01-01,6.58
1956-08-01,3.33,1970-02-01,7.24,1983-08-01,11.85,1997-02-01,6.42
1956-09-01,3.38,1970-03-01,7.07,1983-09-01,11.65,1997-03-01,6.69
1956-10-01,3.34,1970-04-01,7.39,1983-10-01,11.54,1997-04-01,6.89
1956-11-01,3.49,1970-05-01,7.91,1983-11-01,11.69,1997-05-01,6.71
1956-12-01,3.59,1970-06-01,7.84,1983-12-01,11.83,1997-06-01,6.49
1957-01-01,3.46,1970-07-01,7.46,1984-01-01,11.67,1997-07-01,6.22
1957-02-01,3.34,1970-08-01,7.53,1984-02-01,11.84,1997-08-01,6.3
1957-03-01,3.41,1970-09-01,7.39,1984-03-01,12.32,1997-09-01,6.21
1957-04-01,3.48,1970-10-01,7.33,1984-04-01,12.63,1997-10-01,6.03
1957-05-01,3.6,1970-11-01,6.84,1984-05-01,13.41,1997-11-01,5.88
1957-06-01,3.8,1970-12-01,6.39,1984-06-01,13.56,1997-12-01,5.81
1957-07-01,3.93,1971-01-01,6.24,1984-07-01,13.36,1998-01-01,5.54
1957-08-01,3.93,1971-02-01,6.11,1984-08-01,12.72,1998-02-01,5.57
1957-09-01,3.92,1971-03-01,5.7,1984-09-01,12.52,1998-03-01,5.65
1957-10-01,3.97,1971-04-01,5.83,1984-10-01,12.16,1998-04-01,5.64
1957-11-01,3.72,1971-05-01,6.39,1984-11-01,11.57,1998-05-01,5.65
1957-12-01,3.21,1971-06-01,6.52,1984-12-01,11.5,1998-06-01,5.5
1958-01-01,3.09,1971-07-01,6.73,1985-01-01,11.38,1998-07-01,5.46
1958-02-01,3.05,1971-08-01,6.58,1985-02-01,11.51,1998-08-01,5.34
1958-03-01,2.98,1971-09-01,6.14,1985-03-01,11.86,1998-09-01,4.81
1958-04-01,2.88,1971-10-01,5.93,1985-04-01,11.43,1998-10-01,4.53
1958-05-01,2.92,1971-11-01,5.81,1985-05-01,10.85,1998-11-01,4.83
1958-06-01,2.97,1971-12-01,5.93,1985-06-01,10.16,1998-12-01,4.65
1958-07-01,3.2,1972-01-01,5.95,1985-07-01,10.31,1999-01-01,4.72
1958-08-01,3.54,1972-02-01,6.08,1985-08-01,10.33,1999-02-01,5.0
1958-09-01,3.76,1972-03-01,6.07,1985-09-01,10.37,1999-03-01,5.23
1958-10-01,3.8,1972-04-01,6.19,1985-10-01,10.24,1999-04-01,5.18
1958-11-01,3.74,1972-05-01,6.13,1985-11-01,9.78,1999-05-01,5.54
1958-12-01,3.86,1972-06-01,6.11,1985-12-01,9.26,1999-06-01,5.9
1959-01-01,4.02,1972-07-01,6.11,1986-01-01,9.19,1999-07-01,5.79
1959-02-01,3.96,1972-08-01,6.21,1986-02-01,8.7,1999-08-01,5.94
1959-03-01,3.99,1972-09-01,6.55,1986-03-01,7.78,1999-09-01,5.92
1959-04-01,4.12,1972-10-01,6.48,1986-04-01,7.3,1999-10-01,6.11
1959-05-01,4.31,1972-11-01,6.28,1986-05-01,7.71,1999-11-01,6.03
1959-06-01,4.34,1972-12-01,6.36,1986-06-01,7.8,1999-12-01,6.28
1959-07-01,4.4,1973-01-01,6.46,1986-07-01,7.3,2000-01-01,6.66
1959-08-01,4.43,1973-02-01,6.64,1986-08-01,7.17,2000-02-01,6.52
1959-09-01,4.68,1973-03-01,6.71,1986-09-01,7.45,2000-03-01,6.26
1959-10-01,4.53,1973-04-01,6.67,1986-10-01,7.43,2000-04-01,5.99
1959-11-01,4.53,1973-05-01,6.85,1986-11-01,7.25,2000-05-01,6.44
1959-12-01,4.69,1973-06-01,6.9,1986-12-01,7.11,2000-06-01,6.1
1960-01-01,4.72,1973-07-01,7.13,1987-01-01,7.08,2000-07-01,6.05
1960-02-01,4.49,1973-08-01,7.4,1987-02-01,7.25,2000-08-01,5.83
1960-03-01,4.25,1973-09-01,7.09,1987-03-01,7.25,2000-09-01,5.8
1960-04-01,4.28,1973-10-01,6.79,1987-04-01,8.02,2000-10-01,5.74
1960-05-01,4.35,1973-11-01,6.73,1987-05-01,8.61,2000-11-01,5.72
1960-06-01,4.15,1973-12-01,6.74,1987-06-01,8.4,2000-12-01,5.24
1960-07-01,3.9,1974-01-01,6.99,1987-07-01,8.45,2001-01-01,5.16
1960-08-01,3.8,1974-02-01,6.96,1987-08-01,8.76,2001-02-01,5.1
1960-09-01,3.8,1974-03-01,7.21,1987-09-01,9.42,2001-03-01,4.89
1960-10-01,3.89,1974-04-01,7.51,1987-10-01,9.52,2001-04-01,5.14
1960-11-01,3.93,1974-05-01,7.58,1987-11-01,8.86,2001-05-01,5.39
1960-12-01,3.84,1974-06-01,7.54,1987-12-01,8.99,2001-06-01,5.28
1961-01-01,3.84,1974-07-01,7.81,1988-01-01,8.67,2001-07-01,5.24
1961-02-01,3.78,1974-08-01,8.04,1988-02-01,8.21,2001-08-01,4.97
1961-03-01,3.74,1974-09-01,8.04,1988-03-01,8.37,2001-09-01,4.73
1961-04-01,3.78,1974-10-01,7.9,1988-04-01,8.72,2001-10-01,4.57
1961-05-01,3.71,1974-11-01,7.68,1988-05-01,9.09,2001-11-01,4.65
1961-06-01,3.88,1974-12-01,7.43,1988-06-01,8.92,2001-12-01,5.09
1961-07-01,3.92,1975-01-01,7.5,1988-07-01,9.06,2002-01-01,5.04
1961-08-01,4.04,1975-02-01,7.39,1988-08-01,9.26,2002-02-01,4.91
1961-09-01,3.98,1975-03-01,7.73,1988-09-01,8.98,2002-03-01,5.28
1961-10-01,3.92,1975-04-01,8.23,1988-10-01,8.8,2002-04-01,5.21
1961-11-01,3.94,1975-05-01,8.06,1988-11-01,8.96,2002-05-01,5.16
1961-12-01,4.06,1975-06-01,7.86,1988-12-01,9.11,2002-06-01,4.93
1962-01-01,4.08,1975-07-01,8.06,1989-01-01,9.09,2002-07-01,4.65
1962-02-01,4.04,1975-08-01,8.4,1989-02-01,9.17,2002-08-01,4.26
1962-03-01,3.93,1975-09-01,8.43,1989-03-01,9.36,2002-09-01,3.87
1962-04-01,3.84,1975-10-01,8.14,1989-04-01,9.18,2002-10-01,3.94
1962-05-01,3.87,1975-11-01,8.05,1989-05-01,8.86,2002-11-01,4.05
1962-06-01,3.91,1975-12-01,8.0,1989-06-01,8.28,2002-12-01,4.03
1962-07-01,4.01,1976-01-01,7.74,1989-07-01,8.02,2003-01-01,4.05
1962-08-01,3.98,1976-02-01,7.79,1989-08-01,8.11,2003-02-01,3.9
1962-09-01,3.98,1976-03-01,7.73,1989-09-01,8.19,2003-03-01,3.81
1962-10-01,3.93,1976-04-01,7.56,1989-10-01,8.01,2003-04-01,3.96
1962-11-01,3.92,1976-05-01,7.9,1989-11-01,7.87,2003-05-01,3.57
1962-12-01,3.86,1976-06-01,7.86,1989-12-01,7.84,2003-06-01,3.33
1963-01-01,3.83,1976-07-01,7.83,1990-01-01,8.21,2003-07-01,3.98
1963-02-01,3.92,1976-08-01,7.77,1990-02-01,8.47,2003-08-01,4.45
1963-03-01,3.93,1976-09-01,7.59,1990-03-01,8.59,2003-09-01,4.27
1963-04-01,3.97,1976-10-01,7.41,1990-04-01,8.79,2003-10-01,4.29
1963-05-01,3.93,1976-11-01,7.29,1990-05-01,8.76,2003-11-01,4.3
1963-06-01,3.99,1976-12-01,6.87,1990-06-01,8.48,2003-12-01,4.27
1963-07-01,4.02,1977-01-01,7.21,1990-07-01,8.47,2004-01-01,4.15
1963-08-01,4.0,1977-02-01,7.39,1990-08-01,8.75,2004-02-01,4.08
1963-09-01,4.08,1977-03-01,7.46,1990-09-01,8.89,2004-03-01,3.83
1963-10-01,4.11,1977-04-01,7.37,1990-10-01,8.72,2004-04-01,4.35
1963-11-01,4.12,1977-05-01,7.46,1990-11-01,8.39,2004-05-01,4.72
1963-12-01,4.13,1977-06-01,7.28,1990-12-01,8.08,2004-06-01,4.73
1964-01-01,4.17,1977-07-01,7.33,1991-01-01,8.09,2004-07-01,4.5
1964-02-01,4.15,1977-08-01,7.4,1991-02-01,7.85,2004-08-01,4.28
1964-03-01,4.22,1977-09-01,7.34,1991-03-01,8.11,2004-09-01,4.13
1964-04-01,4.23,1977-10-01,7.52,1991-04-01,8.04,2004-10-01,4.1
1964-05-01,4.2,1977-11-01,7.58,1991-05-01,8.07,2004-11-01,4.19
1964-06-01,4.17,1977-12-01,7.69,1991-06-01,8.28,2004-12-01,4.23
1964-07-01,4.19,1978-01-01,7.96,1991-07-01,8.27,2005-01-01,4.22
1964-08-01,4.19,1978-02-01,8.03,1991-08-01,7.9,2005-02-01,4.17
1964-09-01,4.2,1978-03-01,8.04,1991-09-01,7.65,2005-03-01,4.5
1964-10-01,4.19,1978-04-01,8.15,1991-10-01,7.53,2005-04-01,4.34
1964-11-01,4.15,1978-05-01,8.35,1991-11-01,7.42,2005-05-01,4.14
1964-12-01,4.18,1978-06-01,8.46,1991-12-01,7.09,2005-06-01,4.0
1965-01-01,4.19,1978-07-01,8.64,1992-01-01,7.03,2005-07-01,4.18
1965-02-01,4.21,1978-08-01,8.41,1992-02-01,7.34,2005-08-01,4.26
1965-03-01,4.21,1978-09-01,8.42,1992-03-01,7.54,2005-09-01,4.2
1965-04-01,4.2,1978-10-01,8.64,1992-04-01,7.48,2005-10-01,4.46
1965-05-01,4.21,1978-11-01,8.81,1992-05-01,7.39,2005-11-01,4.54
1965-06-01,4.21,1978-12-01,9.01,1992-06-01,7.26,2005-12-01,4.47
1965-07-01,4.2,1979-01-01,9.1,1992-07-01,6.84,2006-01-01,4.42
1965-08-01,4.25,1979-02-01,9.1,1992-08-01,6.59,2006-02-01,4.57
1965-09-01,4.29,1979-03-01,9.12,1992-09-01,6.42,2006-03-01,4.72
1965-10-01,4.35,1979-04-01,9.18,1992-10-01,6.59,2006-04-01,4.99
1965-11-01,4.45,1979-05-01,9.25,1992-11-01,6.87,2006-05-01,5.11
1965-12-01,4.62,1979-06-01,8.91,1992-12-01,6.77,2006-06-01,5.11
1966-01-01,4.61,1979-07-01,8.95,1993-01-01,6.6,2006-07-01,5.09
1966-02-01,4.83,1979-08-01,9.03,1993-02-01,6.26,2006-08-01,4.88
1966-03-01,4.87,1979-09-01,9.33,1993-03-01,5.98,2006-09-01,4.72
1966-04-01,4.75,1979-10-01,10.3,1993-04-01,5.97,2006-10-01,4.73
1966-05-01,4.78,1979-11-01,10.65,1993-05-01,6.04,2006-11-01,4.6
1966-06-01,4.81,1979-12-01,10.39,1993-06-01,5.96,2006-12-01,4.56
1966-07-01,5.02,1980-01-01,10.8,1993-07-01,5.81,2007-01-01,4.76
1966-08-01,5.22,1980-02-01,12.41,1993-08-01,5.68,2007-02-01,4.72
1966-09-01,5.18,1980-03-01,12.75,1993-09-01,5.36,,
