Year,"Ice Cream, 1000 gal","Frozen Yogurt, 1000 gal"
1950,554351,-
1951,568849,-
1952,592705,-
1953,605051,-
1954,596821,-
1955,628525,-
1956,641333,-
1957,650583,-
1958,657175,-
1959,698931,-
1960,697552,-
1961,697151,-
1962,704428,-
1963,717597,-
1964,738743,-
1965,757000,-
1966,751159,-
1967,745409,-
1968,773207,-
1969,765501,-
1970,761732,-
1971,765843,-
1972,767750,-
1973,773674,-
1974,781971,-
1975,836552,-
1976,818241,-
1977,809849,-
1978,815360,-
1979,811079,-
1980,829798,-
1981,832450,-
1982,852072,-
1983,881543,-
1984,894468,-
1985,901449,-
1986,923597,-
1987,928356,-
1988,882079,-
1989,831159,82454
1990,823610,117577
1991,862638,147137
1992,866110,134067
1993,866248,149933
1994,876097,150565
1995,862232,152097
1996,878572,114168
1997,913770,92167
1998,937485,87777
2000,979645,94478
