Year,"Coal Production, Short Tons in Thousands"
1949,480570.0
1950,560388.0
1951,576335.0
1952,507424.0
1953,488239.0
1954,420789.0
1955,490838.0
1956,529774.0
1957,518042.0
1958,431617.0
1959,432677.0
1960,434329.0
1961,420423.0
1962,439043.0
1963,477195.0
1964,504182.0
1965,526954.0
1966,546822.0
1967,564882.0
1968,556706.0
1969,570978.0
1970,612661.0
1971,560919.0
1972,602492.0
1973,598568.0
1974,610023.0
1975,654641.0
1976,684913.0
1977,697205.0
1978,670164.0
1979,781134.0
1980,829700.0
1981,823775.0
1982,838112.0
1983,782091.0
1984,895920.767
1985,883638.117
1986,890314.708
1987,918762.162
1988,950265.278
1989,980728.79
1990,1029075.527
1991,995983.881
1992,997544.933
1993,945424.286
1994,1033504.293
1995,1032973.772
1996,1063855.513
1997,1089931.788
1998,1117535.167
1999,1100431.428
2000,1073611.561
2001,1127688.806
2002,1094283.061
2003,1071752.573
2004,1112098.87
2005,1133253.474
