Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1995,73.83,78.91,79.3,81.3,80.68,75.94,80.08,79.85,85.58,82.09,77.85,67.66
1996,62.67,71.9,75.94,80.18,78.92,74.67,75.29,74.69,78.69,77.19,77.91,66.63
1997,68.41,75.21,78.1,79.85,83.16,76.14,77.5,78.56,85.03,81.55,78.22,73.54
1998,75.05,75.39,75.85,79.12,77.48,70.42,78.86,77.03,78.94,81.75,83.29,73.22
1999,67.66,78.91,78.09,75.73,76.19,70.88,71.07,76.11,79.35,80.06,81.41,78
2000,73.75,74.76,76.99,75.37,74.25,66.34,70.31,69.96,78.1,76.07,72.82,62.75
2001,75.42,72.73,75.22,79.29,81.47,75.18,78.12,76.18,67.66,84.78,84.71,80.22
2002,81.02,84.69,78.59,82.58,82.76,78.64,79.66,82.62,87.95,84.18,85.21,78.34
2003,83.32,76.54,82.58,86.85,84.93,82.36,79.66,79,85.63,86.39,80.2,76.04
2004,74.85,77.48,81.29,83.04,77.62,72.95,75.95,78.29,83.91,81,79.12,71.56
2005,71.39,77.58,76.94,83.44,83.67,75.2,70.92,75.16,82.66,81.26,80.03,71.01
2006,78.76,75.3,76.12,78.42,78.27,72.83,73.7,75.8,76.22,72.91,76.52,70.8
2007,73.11,67.26,73.27,75.71,77.9,68.07,69.78,71.64,81.7,78.21,80.03,64.34
2008,72.36,68.63,71.58,77.67,79.02,70.84,75.7,78.44,84.88,86.04,83.33,65.34
2009,77.02,82.6,78.4,79.14,80.49,76.12,77.6,79.68,86.17,77.27,88.59,71.99
2010,78.69,74.66,79.96,85.31,79.94,76.42,76.69,81.65,85.07,83.77,83.16,72.04
2011,76.3,74.54,79.24,75.5,77.06,76.92,77.84,79.34,83.88,85.54,85.3,84.37
2012,83.75,86.16,82.19,86.26,83.38,80.66,76.01,79.15,83.3,80.21,85.73,76.56
2013,80.98,79.62,-,-,-,-,-,-,-,-,-,-
