Year,"Anomaly, C","CO2, ppmv",Unnamed: 3,Year.1,"Anomaly, C.1","CO2, ppmv.1",Unnamed: 7,Year.2,"Anomaly, C.2","CO2, ppmv.2"
1880,-0.11,290.7,,1922,-0.09,303.8,,1964.0,-0.25,319.2
1881,-0.13,291.2,,1923,-0.16,304.1,,1965.0,-0.15,320.015
1882,-0.01,291.7,,1924,-0.11,304.5,,1966.0,-0.07,321.085
1883,-0.04,292.1,,1925,-0.15,305.0,,1967.0,-0.02,321.99
1884,-0.42,292.6,,1926,0.04,305.4,,1968.0,-0.09,322.925
1885,-0.23,293.0,,1927,-0.05,305.8,,1969.0,0.0,324.21
1886,-0.25,293.3,,1928,0.01,306.3,,1970.0,0.04,325.24
1887,-0.45,293.6,,1929,-0.22,306.8,,1971.0,-0.1,326.06
1888,-0.23,293.8,,1930,-0.03,307.2,,1972.0,-0.05,327.18
1889,0.04,294.0,,1931,0.03,307.7,,1973.0,0.18,328.84
1890,-0.22,294.2,,1932,0.04,308.2,,1974.0,-0.06,329.725
1891,-0.55,294.3,,1933,-0.11,308.6,,1975.0,-0.02,330.725
1892,-0.4,294.5,,1934,0.05,309.0,,1976.0,-0.21,331.825
1893,-0.39,294.6,,1935,-0.08,309.4,,1977.0,0.16,333.25
1894,-0.32,294.7,,1936,0.01,309.8,,1978.0,0.07,334.6
1895,-0.32,294.8,,1937,0.12,310.0,,1979.0,0.13,336.85
1896,-0.27,294.9,,1938,0.15,310.2,,1980.0,0.27,338.69
1897,-0.15,295.0,,1939,-0.02,310.3,,1981.0,0.4,339.93
1898,-0.21,295.2,,1940,0.14,310.4,,1982.0,0.1,341.13
1899,-0.25,295.5,,1941,0.11,310.4,,1983.0,0.34,342.78
1900,-0.05,295.8,,1942,0.1,310.3,,1984.0,0.16,344.42
1901,-0.05,296.1,,1943,0.06,310.2,,1985.0,0.13,345.9
1902,-0.3,296.5,,1944,0.1,310.1,,1986.0,0.19,347.15
1903,-0.35,296.8,,1945,-0.01,310.1,,1987.0,0.35,348.93
1904,-0.42,297.2,,1946,0.01,310.1,,1988.0,0.42,351.48
1905,-0.25,297.6,,1947,0.12,310.2,,1989.0,0.28,352.91
1906,-0.15,298.1,,1948,-0.03,310.3,,1990.0,0.49,354.19
1907,-0.41,298.5,,1949,-0.09,310.5,,1991.0,0.44,355.59
1908,-0.3,298.9,,1950,-0.17,310.7,,1992.0,0.16,356.37
1909,-0.31,299.3,,1951,-0.02,311.1,,1993.0,0.18,357.04
1910,-0.21,299.7,,1952,0.03,311.5,,1994.0,0.31,358.88
1911,-0.25,300.1,,1953,0.12,311.9,,1995.0,0.47,360.88
1912,-0.33,300.4,,1954,-0.09,312.4,,1996.0,0.36,362.64
1913,-0.28,300.8,,1955,-0.09,313.0,,1997.0,0.4,363.76
1914,-0.02,301.1,,1956,-0.18,313.6,,1998.0,0.71,366.63
1915,0.06,301.4,,1957,0.08,314.2,,1999.0,0.43,368.31
1916,-0.2,301.7,,1958,0.1,314.9,,2000.0,0.41,369.48
1917,-0.46,302.1,,1959,0.05,315.79,,2001.0,0.56,371.02
1918,-0.33,302.4,,1960,-0.02,316.605,,2002.0,0.7,373.1
1919,-0.09,302.7,,1961,0.1,317.325,,2003.0,0.66,375.64
1920,-0.15,303.0,,1962,0.05,318.075,,2004.0,0.6,377.38
1921,-0.04,303.4,,1963,0.03,318.695,,,,
