Date,Dollars,Date.1,Dollars.1,Date.2,Dollars.2,Date.3,Dollars.3,Date.4,Dollars.4
2001-01-02,28.05,2001-03-15,22.01,2001-05-25,27.88,2001-08-07,32.24,2001-10-23,35.2
2001-01-03,28.23,2001-03-16,22.26,2001-05-29,27.78,2001-08-08,31.6,2001-10-24,35.3
2001-01-04,26.25,2001-03-19,22.35,2001-05-30,28.03,2001-08-09,31.78,2001-10-25,35.65
2001-01-05,25.41,2001-03-20,23.06,2001-05-31,28.36,2001-08-10,32.99,2001-10-26,35.96
2001-01-08,26.25,2001-03-21,22.78,2001-06-01,28.31,2001-08-13,32.69,2001-10-29,35.86
2001-01-09,26.03,2001-03-22,22.19,2001-06-04,27.58,2001-08-14,33.31,2001-10-30,35.61
2001-01-10,26.09,2001-03-23,22.19,2001-06-05,27.43,2001-08-15,32.78,2001-10-31,34.42
2001-01-11,26.28,2001-03-26,22.66,2001-06-06,27.16,2001-08-16,32.78,2001-11-01,34.55
2001-01-12,26.0,2001-03-27,22.5,2001-06-07,27.92,2001-08-17,32.82,2001-11-02,35.43
2001-01-16,25.63,2001-03-28,21.36,2001-06-08,27.36,2001-08-20,33.04,2001-11-05,34.92
2001-01-17,25.57,2001-03-29,20.71,2001-06-11,27.17,2001-08-21,33.79,2001-11-06,35.56
2001-01-18,25.57,2001-03-30,20.86,2001-06-12,27.39,2001-08-22,32.69,2001-11-07,35.85
2001-01-19,25.16,2001-04-02,20.95,2001-06-13,27.58,2001-08-23,32.4,2001-11-08,36.89
2001-01-22,26.52,2001-04-03,20.12,2001-06-14,27.55,2001-08-24,32.91,2001-11-09,37.24
2001-01-23,27.18,2001-04-04,19.5,2001-06-15,27.49,2001-08-27,33.38,2001-11-12,37.01
2001-01-24,26.93,2001-04-05,20.3,2001-06-18,27.7,2001-08-28,34.72,2001-11-13,37.52
2001-01-25,26.5,2001-04-06,20.09,2001-06-19,27.19,2001-08-29,35.22,2001-11-14,37.24
2001-01-26,26.5,2001-04-09,20.38,2001-06-20,26.76,2001-08-30,34.77,2001-11-15,40.36
2001-01-29,27.27,2001-04-10,21.13,2001-06-21,26.53,2001-08-31,34.85,2001-11-16,39.42
2001-01-30,27.7,2001-04-11,20.63,2001-06-22,26.45,2001-09-04,33.91,2001-11-19,40.16
2001-01-31,28.17,2001-04-12,20.35,2001-06-25,25.97,2001-09-05,34.39,2001-11-20,42.64
2001-02-01,28.26,2001-04-16,20.39,2001-06-26,26.11,2001-09-06,34.49,2001-11-21,41.86
2001-02-02,28.29,2001-04-17,20.95,2001-06-27,26.5,2001-09-07,34.37,2001-11-23,42.58
2001-02-05,28.23,2001-04-18,21.94,2001-06-28,26.98,2001-09-10,33.44,2001-11-26,42.63
2001-02-06,28.54,2001-04-19,21.43,2001-06-29,26.84,2001-09-17,33.24,2001-11-27,42.14
2001-02-07,28.94,2001-04-20,21.37,2001-07-02,28.03,2001-09-18,33.18,2001-11-28,41.62
2001-02-08,28.51,2001-04-23,21.24,2001-07-03,28.0,2001-09-19,31.26,2001-11-29,42.59
2001-02-09,27.55,2001-04-24,21.13,2001-07-05,28.01,2001-09-20,31.04,2001-11-30,42.5
2001-02-12,28.05,2001-04-25,22.36,2001-07-06,27.2,2001-09-21,30.33,2001-12-03,42.38
2001-02-13,27.98,2001-04-26,22.93,2001-07-09,27.92,2001-09-24,30.69,2001-12-04,42.77
2001-02-14,23.55,2001-04-27,23.26,2001-07-10,27.1,2001-09-25,30.84,2001-12-05,43.8
2001-02-15,24.21,2001-04-30,24.07,2001-07-11,27.15,2001-09-26,29.95,2001-12-06,45.13
2001-02-16,23.92,2001-05-01,23.79,2001-07-12,27.19,2001-09-27,29.22,2001-12-07,45.4
2001-02-20,23.77,2001-05-02,24.56,2001-07-13,26.69,2001-09-28,31.11,2001-12-10,43.81
2001-02-21,23.74,2001-05-03,24.43,2001-07-16,26.79,2001-10-01,30.93,2001-12-11,42.16
2001-02-22,23.55,2001-05-04,24.29,2001-07-17,27.17,2001-10-02,30.98,2001-12-12,41.24
2001-02-23,23.34,2001-05-07,23.33,2001-07-18,26.72,2001-10-03,32.59,2001-12-13,40.91
2001-02-26,23.22,2001-05-08,25.2,2001-07-19,26.33,2001-10-04,32.5,2001-12-14,41.05
2001-02-27,22.87,2001-05-09,24.94,2001-07-20,26.23,2001-10-05,32.12,2001-12-17,41.13
2001-02-28,21.36,2001-05-10,24.95,2001-07-23,26.59,2001-10-08,32.09,2001-12-18,41.55
2001-03-01,21.3,2001-05-11,25.25,2001-07-24,26.82,2001-10-09,32.85,2001-12-19,41.35
2001-03-02,21.51,2001-05-14,25.7,2001-07-25,27.24,2001-10-10,33.44,2001-12-20,41.27
2001-03-05,21.32,2001-05-15,26.33,2001-07-26,28.49,2001-10-11,32.68,2001-12-21,42.46
2001-03-06,21.67,2001-05-16,27.81,2001-07-27,31.65,2001-10-12,32.54,2001-12-24,42.96
2001-03-07,21.48,2001-05-17,28.04,2001-07-30,34.47,2001-10-15,32.07,2001-12-26,43.63
2001-03-08,21.85,2001-05-18,28.75,2001-07-31,33.63,2001-10-16,33.18,2001-12-27,43.63
2001-03-09,21.49,2001-05-21,28.72,2001-08-01,32.58,2001-10-17,33.45,2001-12-28,43.59
2001-03-12,21.48,2001-05-22,28.33,2001-08-02,32.62,2001-10-18,34.35,2001-12-31,43.14
2001-03-13,22.1,2001-05-23,27.61,2001-08-03,32.09,2001-10-19,33.95,,
2001-03-14,21.79,2001-05-24,27.98,2001-08-06,32.41,2001-10-22,34.42,,
